946684860 [info] [main] Starting cover function
946684860 [info] [_cover_new] Starting client: exit
946684860 [info] [main] entering main loop to watch descriptors
946684860 [info] [main] waiting for events
946684860 [info] [main] processing event
946684860 [info] [_cover_activateClient] EPOLLOUT is set
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
946684860 [info] [_cover_activateClient] successfully sent '[exit] COVER REQUEST' message
